# uid,exe,job_id,rank,ProducerName,file,record_id,module,type,max_byte,switches,flushes,cnt,op,data_set,pt_sel,irreg_hslab,reg_hslab,ndims,npoints,off,len,dur,timestamp,time_job_rank,job_rank_time,job_time_rank
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,204,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000611,1655602101.343293,07:00:83:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:CC:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:CC:00:00:00:00:00:00:00:07:00:83:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:83:F8:55:ED:9E:AB:D8:41:05:00:CC:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,200,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000616,1655602101.343296,07:00:90:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:C8:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:C8:00:00:00:00:00:00:00:07:00:90:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:90:F8:55:ED:9E:AB:D8:41:05:00:C8:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,199,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000318,1655602101.343301,07:00:A5:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:C7:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:C7:00:00:00:00:00:00:00:07:00:A5:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:A5:F8:55:ED:9E:AB:D8:41:05:00:C7:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,215,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000619,1655602101.343303,07:00:AD:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:D7:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:D7:00:00:00:00:00:00:00:07:00:AD:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:AD:F8:55:ED:9E:AB:D8:41:05:00:D7:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,194,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000624,1655602101.343306,07:00:BA:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:C2:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:C2:00:00:00:00:00:00:00:07:00:BA:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:BA:F8:55:ED:9E:AB:D8:41:05:00:C2:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,211,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000589,1655602101.343308,07:00:C2:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:D3:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:D3:00:00:00:00:00:00:00:07:00:C2:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:C2:F8:55:ED:9E:AB:D8:41:05:00:D3:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,223,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000625,1655602101.343309,07:00:C6:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:DF:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:DF:00:00:00:00:00:00:00:07:00:C6:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:C6:F8:55:ED:9E:AB:D8:41:05:00:DF:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,206,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000633,1655602101.343314,07:00:DB:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:CE:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:CE:00:00:00:00:00:00:00:07:00:DB:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:DB:F8:55:ED:9E:AB:D8:41:05:00:CE:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,207,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000631,1655602101.343314,07:00:DB:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:CF:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:CF:00:00:00:00:00:00:00:07:00:DB:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:DB:F8:55:ED:9E:AB:D8:41:05:00:CF:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,205,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000633,1655602101.343315,07:00:DF:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:CD:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:CD:00:00:00:00:00:00:00:07:00:DF:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:DF:F8:55:ED:9E:AB:D8:41:05:00:CD:00:00:00:00:00:00:00
99066,/projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io,256259,195,nid00026,/lscratch/ovis/darshanTest/darshan-Part00000000-of-00000001.data,9223372036854775807,POSIX,MET,18446744073709551615,18446744073709551615,18446744073709551615,1,open,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,0.000633,1655602101.343316,07:00:E4:F8:55:ED:9E:AB:D8:41:05:00:03:E9:03:00:00:00:00:00:05:00:C3:00:00:00:00:00:00:00,05:00:03:E9:03:00:00:00:00:00:05:00:C3:00:00:00:00:00:00:00:07:00:E4:F8:55:ED:9E:AB:D8:41,05:00:03:E9:03:00:00:00:00:00:07:00:E4:F8:55:ED:9E:AB:D8:41:05:00:C3:00:00:00:00:00:00:00
